	time
TutorialDamageControl_02	00-00:20
TutorialDamageControl_03	00-03:35
TutorialDamageControl_04	00-06:80
TutorialDamageControl_05	00-09:30
TutorialDamageControl_06	00-13:12
TutorialDamageControl_07	00-17:60
TutorialDamageControl_08	00-28:00
TutorialDamageControl_09	00-33:45
TutorialDamageControl_10	00-38:70
TutorialDamageControl_11	00-50:60
TutorialDamageControl_12	00-55:55
TutorialDamageControl_13	00-58:80
TutorialDamageControl_14	01-01:40
TutorialDamageControl_15	01-06:60
TutorialDamageControl_16	01-09:50
TutorialDamageControl_17	01-13:85
TutorialDamageControl_18	01-18:10
TutorialDamageControl_20	01-22:50
TutorialDamageControl_19	01-25:70
TutorialDamageControl_21	01-27:15
TutorialDamageControl_22	01-30:85
TutorialDamageControl_23	01-34:00
TutorialDamageControl_24	01-36:60
TutorialDamageControl_25	01-39:50
TutorialDamageControl_26	01-43:40
TutorialDamageControl_27	01-46:75
TutorialDamageControl_28	01-49:85
TutorialDamageControl_29	01-53:55
TutorialDamageControl_30	01-57:15
TutorialDamageControl_31	02-01:15
TutorialDamageControl_32	02-05:30
TutorialDamageControl_33	02-10:40
TutorialDamageControl_34	02-15:00
