	time
TutorialSendMissions_02	00-01:37
TutorialSendMissions_03	00-03:75
TutorialSendMissions_04	00-06:90
TutorialSendMissions_05	00-13:25
TutorialSendMissions_06	00-17:90
TutorialSendMissions_07	00-22:08
TutorialSendMissions_08	00-25:91
TutorialSendMissions_09	00-29:25
TutorialSendMissions_10	00-34:65
TutorialSendMissions_11	00-38:87
TutorialSendMissions_12	00-41:50
TutorialSendMissions_13	00-43:00
TutorialSendMissions_14	00-45:15
TutorialSendMissions_15	00-48:87
TutorialSendMissions_16	00-53:20
TutorialSendMissions_17	00-59:03
TutorialSendMissions_18	01-04:00
TutorialSendMissions_19	01-09:30
TutorialSendMissions_20	01-13:75
TutorialSendMissions_21	01-18:50
TutorialSendMissions_22	01-22:62
TutorialSendMissions_23	01-27:00
TutorialSendMissions_24	01-31:70
TutorialSendMissions_25	01-35:37
TutorialSendMissions_26	01-40:37
TutorialSendMissions_27	01-44:30
TutorialSendMissions_28	01-48:87
TutorialSendMissions_29	01-52:12
TutorialSendMissions_30	01-55:00
