	time
TutorialCrewManagement_02	00-00:14
TutorialCrewManagement_03	00-03:45
TutorialCrewManagement_04	00-05:30
TutorialCrewManagement_05	00-10:50
TutorialCrewManagement_06	00-15:40
TutorialCrewManagement_07	00-18:250
TutorialCrewManagement_08	00-23:00
TutorialCrewManagement_09	00-26:45
TutorialCrewManagement_10	00-30:50
TutorialCrewManagement_11	00-33:60
TutorialCrewManagement_12	00-37:85
TutorialCrewManagement_13	00-40:55
TutorialCrewManagement_14	00-45:75
TutorialCrewManagement_15	00-49:75
TutorialCrewManagement_16	00-54:38
TutorialCrewManagement_17	00-57:35
TutorialCrewManagement_18	01-02:08
TutorialCrewManagement_19	01-06:70
TutorialCrewManagement_20	01-10:25
TutorialCrewManagement_21	01-12:60
TutorialCrewManagement_22	01-16:06
TutorialCrewManagement_23	01-20:00
TutorialCrewManagement_24	01-22:80
TutorialCrewManagement_25	01-25:40
TutorialCrewManagement_26	01-30:00
TutorialCrewManagement_27	01-34:12
TutorialCrewManagement_28	01-39:35
TutorialCrewManagement_29	01-44:00
TutorialCrewManagement_30	01-48:28
TutorialCrewManagement_31	01-50:75
TutorialCrewManagement_32	01-54:50
TutorialCrewManagement_33	01-57:87
