	time
TutorialDefence_02	00-00:40
TutorialDefence_03	00-03:85
TutorialDefence_04	00-08:37
TutorialDefence_05	00-12:87
TutorialDefence_06	00-15:43
TutorialDefence_07	00-18:37
TutorialDefence_08	00-21:90
TutorialDefence_09	00-25:50
TutorialDefence_10	00-29:45
TutorialDefence_11	00-31:15
TutorialDefence_12	00-33:75
TutorialDefence_13	00-41:65
TutorialDefence_14	00-44:85
TutorialDefence_15	00-49:40
TutorialDefence_16	00-54:35
TutorialDefence_17	00-57:25
TutorialDefence_18	00-59:32
TutorialDefence_19	01-04:15
TutorialDefence_20	01-08:05
TutorialDefence_21	01-10:87
TutorialDefence_22	01-16:65
TutorialDefence_23	01-19:37
