	time
TutorialDeck_02	00-00:12
TutorialDeck_03	00-03:90
TutorialDeck_04	00-07:10
TutorialDeck_05	00-09:25
TutorialDeck_06	00-12:70
TutorialDeck_07	00-15:25
TutorialDeck_08	00-18:45
TutorialDeck_09	00-22:80
TutorialDeck_10	00-25:25
TutorialDeck_11	00-29:80
TutorialDeck_12	00-35:08
TutorialDeck_13	00-39:75
TutorialDeck_14	00-42:00
TutorialDeck_15	00-44:12
TutorialDeck_16	00-50:35
TutorialDeck_17	00-52:12
TutorialDeck_18	00-57:08
TutorialDeck_19	01-00:90
TutorialDeck_20	01-05:68
TutorialDeck_21	01-08:00
TutorialDeck_22	01-12:40
TutorialDeck_23	01-17:35
TutorialDeck_24	01-21:50
TutorialDeck_25	01-25:80
TutorialDeck_26	01-29:12
TutorialDeck_27	01-32:00
TutorialDeck_28	01-37:68
TutorialDeck_29	01-41:50
