	time
TutorialTacticalMap_02	00-00:75
TutorialTacticalMap_03	00-04:12
TutorialTacticalMap_04	00-07:90
TutorialTacticalMap_05	00-11:44
TutorialTacticalMap_06	00-14:15
TutorialTacticalMap_07	00-18:00
TutorialTacticalMap_08	00-23:55
TutorialTacticalMap_09	00-28:12
TutorialTacticalMap_10	00-32:50
TutorialTacticalMap_11	00-36:80
TutorialTacticalMap_12	00-39:45
TutorialTacticalMap_13	00-42:12
TutorialTacticalMap_14	00-45:75
TutorialTacticalMap_15	00-49:50
TutorialTacticalMap_16	00-52:62
TutorialTacticalMap_17	00-55:50
TutorialTacticalMap_18	00-58:30
TutorialTacticalMap_19	01-02:20
TutorialTacticalMap_20	01-06:15
TutorialTacticalMap_21	01-11:60
