	time
TutorialDesignAttack_02	00-00:00
TutorialDesignAttack_03	00-02:18
TutorialDesignAttack_04	00-08:25
TutorialDesignAttack_05	00-12:25
TutorialDesignAttack_06	00-16:23
TutorialDesignAttack_07	00-20:05
TutorialDesignAttack_08	00-24:05
TutorialDesignAttack_09	00-26:82
TutorialDesignAttack_10	00-30:30
TutorialDesignAttack_11	00-33:30
TutorialDesignAttack_12	00-37:50
TutorialDesignAttack_13	00-41:80
TutorialDesignAttack_14	00-44:90
TutorialDesignAttack_15	00-48:00
TutorialDesignAttack_16	00-51:70
TutorialDesignAttack_17	00-57:35
TutorialDesignAttack_18	01-00:20
TutorialDesignAttack_19	01-01:12
TutorialDesignAttack_20	01-02:12
TutorialDesignAttack_21	01-03:45
TutorialDesignAttack_22	01-04:90
TutorialDesignAttack_23	01-08:10
TutorialDesignAttack_24	01-11:60
TutorialDesignAttack_25	01-14:85
TutorialDesignAttack_26	01-17:60
TutorialDesignAttack_27	01-21:55
TutorialDesignAttack_28	01-24:70
TutorialDesignAttack_29	01-29:25
TutorialDesignAttack_30	01-35:85
TutorialDesignAttack_31	01-37:50
TutorialDesignAttack_32	01-42:20
TutorialDesignAttack_33	01-46:80
TutorialDesignAttack_34	01-50:75
TutorialDesignAttack_35	01-54:65
TutorialDesignAttack_36	01-59:00
