	time
TutorialIsland_02	00-00:00
TutorialIsland_03	00-03:90
TutorialIsland_04	00-07:00
TutorialIsland_05	00-09:80
TutorialIsland_06	00-13:35
TutorialIsland_07	00-15:20
TutorialIsland_08	00-18:90
TutorialIsland_09	00-22:70
TutorialIsland_10	00-26:45
TutorialIsland_11	00-32:35
TutorialIsland_12	00-34:75
TutorialIsland_13	00-44:87
TutorialIsland_14	00-50:00
TutorialIsland_15	00-56:00
TutorialIsland_16	00-58:80
TutorialIsland_17	01-00:70
TutorialIsland_18	01-04:62
TutorialIsland_19	01-08:75
TutorialIsland_20	01-13:00
